concept,variant,name,kind,feed,routes,shape_id,start_vertex,end_vertex,source,miles
c1,core,Stadium West Lot → Route 18 (Rutgers H),GTFS,rutgers,H,056d1ee1-f01f-46d8-9996-0b27ae5eeb51,157,399,,1.653
c1,core,Route 18 → Albany @ George (Rutgers HLX segment),GTFS,rutgers,HLX,3b1f0071-58a3-4f88-b8a1-e962adef461d,221,336,,0.762
c1,core,GTFS shape join (under 35 m),Shape join,,,,,,Short geometry alignment join; operational review required,0.0
c1,core,Albany @ George → Burnet Street on-ramp → Route 18 south,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; user-directed Burnet Street access; coach suitability to review,1.244
c1,core,GTFS shape join (under 35 m),Shape join,,,,,,Short geometry alignment join; operational review required,0.004
c1,core,Route 18 south → Neilson Plaza (NJ TRANSIT 818),GTFS,njt,818,3434,114,202,,1.476
c1,core,GTFS shape join (under 35 m),Shape join,,,,,,Short geometry alignment join; operational review required,0.013
c1,core,Tower Center Boulevard,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.173
c1,core,Naricon Place,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.01
c1,core,Naricon Place,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.034
c1,core,State Route 18,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.022
c1,core,Ramp / connecting roadway,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.396
c1,core,Ramp / connecting roadway,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.284
c1,core,Ramp / connecting roadway,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.366
c1,core,New Jersey Turnpike,Turnpike,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,22.108
c1,core,New Jersey Turnpike Eastern Spur,Turnpike,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,4.838
c1,core,Ramp / connecting roadway,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,2.061
c1,core,GTFS shape join (under 35 m),Shape join,,,,,,Short geometry alignment join; operational review required,0.001
c1,core,Secaucus Junction approach (NJ TRANSIT 124),GTFS,njt,124,375,465,468,,0.075
c1,core_edison,Stadium West Lot → Route 18 (Rutgers H),GTFS,rutgers,H,056d1ee1-f01f-46d8-9996-0b27ae5eeb51,157,399,,1.653
c1,core_edison,Route 18 → Albany @ George (Rutgers HLX segment),GTFS,rutgers,HLX,3b1f0071-58a3-4f88-b8a1-e962adef461d,221,336,,0.762
c1,core_edison,GTFS shape join (under 35 m),Shape join,,,,,,Short geometry alignment join; operational review required,0.0
c1,core_edison,Albany @ George → Burnet Street on-ramp → Route 18 south,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; user-directed Burnet Street access; coach suitability to review,1.244
c1,core_edison,GTFS shape join (under 35 m),Shape join,,,,,,Short geometry alignment join; operational review required,0.004
c1,core_edison,Route 18 south → Neilson Plaza (NJ TRANSIT 818),GTFS,njt,818,3434,114,202,,1.476
c1,core_edison,GTFS shape join (under 35 m),Shape join,,,,,,Short geometry alignment join; operational review required,0.013
c1,core_edison,Tower Center Boulevard,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.173
c1,core_edison,Naricon Place,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.01
c1,core_edison,Naricon Place,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.034
c1,core_edison,State Route 18,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.022
c1,core_edison,Ramp / connecting roadway,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.396
c1,core_edison,Ramp / connecting roadway,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.284
c1,core_edison,Ramp / connecting roadway,Road connector,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,0.366
c1,core_edison,New Jersey Turnpike,Turnpike,,,,,,OpenStreetMap / OSRM driving geometry; bus suitability not certified,2.605
c1,core_edison,New Jersey Turnpike,Edison Exit 10 connector,,,,,,OpenStreetMap node 4843447022; OSRM driving profile; local site access unverified,1.715
c1,core_edison,Exit 10 / parking access,Edison Exit 10 connector,,,,,,OpenStreetMap node 4843447022; OSRM driving profile; local site access unverified,0.322
c1,core_edison,Exit 10 / parking access,Edison Exit 10 connector,,,,,,OpenStreetMap node 4843447022; OSRM driving profile; local site access unverified,0.14
c1,core_edison,Exit 10 / parking access,Edison Exit 10 connector,,,,,,OpenStreetMap node 4843447022; OSRM driving profile; local site access unverified,0.316
c1,core_edison,Woodbridge Avenue,Edison Exit 10 connector,,,,,,OpenStreetMap node 4843447022; OSRM driving profile; local site access unverified,0.196
c1,core_edison,Exit 10 / parking access,Edison Exit 10 connector,,,,,,OpenStreetMap node 4843447022; OSRM driving profile; local site access unverified,0.358
c1,core_edison,King Georges Road,Edison Exit 10 connector,,,,,,OpenStreetMap node 4843447022; OSRM driving profile; local site access unverified,0.203
